audio_file,audio_path,english,frequency,id,labels,pos,speaker,syllables,tone_pattern,word
,,find and keep,0,1143,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,1,[L],ba
,,"become in need of, get into straits",0,1144,IbibioWord:SoulLayer,"verb, intransitive",Mfon Udoinyang,2,[HH],baba
,,"stop, cease, conclude",0,1145,IbibioWord:SoulLayer,"verb, intransitive; verb, transitive",Mfon Udoinyang,3,[LLH],biere
,,stand,0,1146,IbibioWord:SoulLayer,"verb, intransitive",Mfon Udoinyang,1,[H],da
,,term of address used between men,0,1147,IbibioWord:SoulLayer,noun,Mfon Udoinyang,1,[L],da
,,remove from the embers what has been roasting,0,1148,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,2,[LL],daap
,,"take away, separate two things",0,1149,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,3,[HHH],dianna
,,"intend, wish",0,1150,IbibioWord:SoulLayer,"verb, intransitive",Mfon Udoinyang,2,[HH],duak
,,"fall, fall down",0,1151,IbibioWord:SoulLayer,"verb, intransitive",Mfon Udoinyang,2,[LH],duọ
,,"enter, go into, join",0,1152,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,1,[H],dʌk
,,tell,0,1153,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,2,[HH],dọkkọ
,,become smooth,0,1154,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,2,[LH],dọnọ
,,"climb (tree, hill)",0,1155,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,2,[HH],dọọk
,,a kind of slug found on plantain leaves,0,1156,IbibioWord:SoulLayer,noun,Mfon Udoinyang,3,[LLL],ebọnọ
,,bitter kola,0,1157,IbibioWord:SoulLayer,noun,Mfon Udoinyang,3,[LHH],efiat
,,world,0,1158,IbibioWord:SoulLayer,noun,Mfon Udoinyang,3,[LLL],ekondo
,,stomach; a bag-like object,0,1159,IbibioWord:SoulLayer,noun,Mfon Udoinyang,2,[LL],ekpa
,,copulation,0,1160,IbibioWord:SoulLayer,noun,Mfon Udoinyang,3,[LH],ekun̄ọ
,,torture,0,1161,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,3,[HHH],fiime
,,"become heaped up, piled up",0,1162,IbibioWord:SoulLayer,"verb, intransitive; verb, transitive",Mfon Udoinyang,1,[H],fịk
,,"fan, wave, swing; hover, float",0,1163,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,1,[L],fịm
,,"crazyness, mad person",0,1164,IbibioWord:SoulLayer,noun,Mfon Udoinyang,3,[HHL],idaat
,,"body, self (reflexive)",0,1165,IbibioWord:SoulLayer,noun,Mfon Udoinyang,2,[HH],idem
,,partition; section of bush,0,1166,IbibioWord:SoulLayer,noun,Mfon Udoinyang,3,[HHH],ikpeghe
,,tortoise,0,1167,IbibioWord:SoulLayer,noun,Mfon Udoinyang,2,[HH],ikịt
,,mouth,0,1168,IbibioWord:SoulLayer,noun,Mfon Udoinyang,3,[HHF],inua
,,"walk, journey; gait",0,1169,IbibioWord:SoulLayer,noun,Mfon Udoinyang,2,[HF],isan̄
,,eight,0,1170,IbibioWord:SoulLayer,number,Mfon Udoinyang,5,[LHLH],itiaita
,,a leech; a kind of fish,0,1171,IbibioWord:SoulLayer,noun,Mfon Udoinyang,3,[LLL],ituet
,,nose,0,1172,IbibioWord:SoulLayer,noun,Mfon Udoinyang,3,[HHH],iwuo
,,"rise, puff, swell; become conceited",0,1173,IbibioWord:SoulLayer,"verb, intransitive",Mfon Udoinyang,2,[HH],kokko
,,lift something very heavy,0,1174,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,2,[LH],kpappa
,,"push a heavy object; wheel, roll",0,1175,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,2,[HH],kpara
,,slow down and walk carefully,0,1176,IbibioWord:SoulLayer,"verb, transitive",Itoro Ituen,2,[LL],kpeek
,,slow down and walk carefully,0,1177,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,2,[LL],kpeen̄
,,sound of the eka ibit (a large drum),0,1178,IbibioWord:SoulLayer,ideophone,Itoro Ituen,1,[L],kpim
,,peel with hand or knife; unlock; bleach,0,1179,IbibioWord:SoulLayer,"verb, transitive",Itoro Ituen,2,[HH],kpọkkọ
,,"rub off, erase, wipe clean, polish",0,1180,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,3,[LLH],kuoko
,,"retch, vomit",0,1181,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,1,[L],kọk
,,"knock, tap",0,1182,IbibioWord:SoulLayer,"verb, intransitive",Mfon Udoinyang,1,[L],kọn̄
,,"cure, heal, perform juju",0,1183,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,2,[HH],kọọk
,,hang; spread out to dry,0,1184,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,2,[HH],kọọp
,,"dirt, refuse, garbage",0,1185,IbibioWord:SoulLayer,noun,Mfon Udoinyang,2,[HHH],mbio
,,slacken; relax the body,0,1186,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,2,[LL],meem
,,"choose, select",0,1187,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,1,[L],mek
,,swallow,0,1188,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,1,[L],men
,,ring,0,1189,IbibioWord:SoulLayer,noun,Mfon Udoinyang,2,[LH HD],mkpa nnʌk
,,small sticks used to support young yam shoots,0,1190,IbibioWord:SoulLayer,noun,Mfon Udoinyang,2,[HHH],mkpai
,,skin of the vagina,0,1191,IbibioWord:SoulLayer,noun,Mfon Udoinyang,3,[LF HL],mkpap itit
,,small,0,1192,IbibioWord:SoulLayer,adjective,Mfon Udoinyang,2,[LHL],mkpara
,,a large calabash used as a buoy,0,1193,IbibioWord:SoulLayer,noun,Itoro Ituen,3,[LHHH],mkparikpa
,,regret,0,1194,IbibioWord:SoulLayer,noun,Mfon Udoinyang,3,[LH LL],mkpefiọk
,,shin,0,1195,IbibioWord:SoulLayer,noun,Mfon Udoinyang,5,[HHH HL],mkpịparan̄ukot
,,"thing, something; matter event",0,1196,IbibioWord:SoulLayer,noun,Itoro Ituen,1,[HH],mkpọ
,,"so, so that",0,1197,IbibioWord:SoulLayer,conj.,Mfon Udoinyang,1,[LH],mma
,,secret,0,1198,IbibioWord:SoulLayer,adjective,Mfon Udoinyang,3,[LHHH],ndedịbe
,,the pelvic area,0,1199,IbibioWord:SoulLayer,noun,Mfon Udoinyang,4,[HLHHHL],ndidiino
,,unsteady; shiftless,0,1200,IbibioWord:SoulLayer,adjective,Mfon Udoinyang,4,[HLHH],ndufeen̄e
,,stain,0,1201,IbibioWord:SoulLayer,noun,Mfon Udoinyang,3,[HLHH],nduwughọ
,,what,0,1202,IbibioWord:SoulLayer,interrogative,Mfon Udoinyang,1,[LH],nse
,,smallpox,0,1203,IbibioWord:SoulLayer,noun,Mfon Udoinyang,2,[HFHF],ntanta
,,"children, young of animals",0,1204,IbibioWord:SoulLayer,noun,Mfon Udoinyang,1,[LL],ntọ
,,"be tall, long, far, high, deep",0,1205,IbibioWord:SoulLayer,"verb, intransitive",Mfon Udoinyang,2,[LL],nyọọn̄
,,"folktale, proverb",0,1206,IbibioWord:SoulLayer,noun,Mfon Udoinyang,1,[LH],n̄ke
,,"over there, yonder",0,1207,IbibioWord:SoulLayer,noun,Mfon Udoinyang,1,[LH],n̄ko
,,a percussion instrument,0,1208,IbibioWord:SoulLayer,noun,Mfon Udoinyang,3,[HHHH],n̄kukuak
,,become congested; become odorous,0,1209,IbibioWord:SoulLayer,"verb, intransitive",Mfon Udoinyang,2,[HH],n̄wagha
,,"granular, in grains",0,1210,IbibioWord:SoulLayer,adjective,Mfon Udoinyang,2,[LLH],n̄wara
,,"weeds, grass",0,1211,IbibioWord:SoulLayer,noun,Mfon Udoinyang,1,[HH],n̄wịp
,,"choke, cause choking",0,1212,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,1,[H],set
,,scatter things; strew things about,0,1213,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,3,[LLL],suaan
,,"become left over, remain",0,1214,IbibioWord:SoulLayer,"verb, intransitive",Mfon Udoinyang,2,[HH],sʌghọ
,,cluck at to show annoyance,0,1215,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,2,[HH],sọọt
,,"explain, direct, tell how",0,1216,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,2,[LH],temme
,,describes water falling drop by drop,0,1217,IbibioWord:SoulLayer,ideophone,Mfon Udoinyang,1,[L],tep
,,tea,0,1218,IbibioWord:SoulLayer,noun,Mfon Udoinyang,1,[F],ti
,,place an order,0,1219,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,2,[LH],tobo
,,"taste liquid, take a sip, sip",0,1220,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,1,[L],tʌm
,,eat a little bit at a time,0,1221,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,1,[HH],tįn̄n̄e
,,second,0,1222,IbibioWord:SoulLayer,numeral,Mfon Udoinyang,2,[LL],uba
,,birth mark,0,1223,IbibioWord:SoulLayer,noun,Mfon Udoinyang,2,[LH],ubịt
,,left (direction),0,1224,IbibioWord:SoulLayer,noun,Mfon Udoinyang,3,[LHH],ufiin
,,"miser, tight-fisted person",0,1225,IbibioWord:SoulLayer,noun,Mfon Udoinyang,2,[HH],uma
,,a kind of fresh water eel,0,1226,IbibioWord:SoulLayer,noun,Mfon Udoinyang,2,[LF],unyan̄
,,"empty, wasted, devoid of purpose",0,1227,IbibioWord:SoulLayer,adjective,Mfon Udoinyang,3,[LHH],uyagha
,,beauty,0,1228,IbibioWord:SoulLayer,noun,Mfon Udoinyang,3,[LLL],uyai
,,sneeze,0,1229,IbibioWord:SoulLayer,"verb, intransitive",Mfon Udoinyang,2,[LH],waya
,,having the urge to sleep,0,1230,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,2,[H],yeet
,,"move about, become restless, fidget",0,1231,IbibioWord:SoulLayer,"verb, intransitive",Mfon Udoinyang,1,[H],yok
,,"attach, put together, fasten, lock, hang",0,1232,IbibioWord:SoulLayer,"verb, transitive",Mfon Udoinyang,1,[H],yịt
